song,artist,album_cover_url
Dos Días,Tito Double P,https://i.scdn.co/image/ab67616d0000b27347e9618ef7411438f9c9478b
Down Bad,Taylor Swift,https://i.scdn.co/image/ab67616d0000b2735076e4160d018e378f488c33
Dreams - 2004 Remaster,Fleetwood Mac,https://i.scdn.co/image/ab67616d0000b273e52a59a28efa4773dd2bfe1b
Drew A Picasso,Drake,https://i.scdn.co/image/ab67616d0000b273931aeb0d63b3e45425bd7310
Drugs You Should Try It,Travis Scott,https://i.scdn.co/image/ab67616d0000b2730fc93fe41791c5aa51ae9645
Dumb & Poetic,Sabrina Carpenter,https://i.scdn.co/image/ab67616d0000b273208dc3669313f2c5114c612d
East Side Of Sorrow,Zach Bryan,https://i.scdn.co/image/ab67616d0000b273e5a25ed08d1e7e0fbb440cef
El Azul,"Junior H, Peso Pluma",https://i.scdn.co/image/ab67616d0000b27333ed356efed99b158c4267c6
El Dorado,Zach Bryan,https://i.scdn.co/image/ab67616d0000b273e5a25ed08d1e7e0fbb440cef
El Gordo Trae El Mando,Chino Pacas,https://i.scdn.co/image/ab67616d0000b2733240b79491b0714245a4ec02
Electric Touch (Feat. Fall Out Boy) (Taylor’S Version) (From The Vault),Taylor Swift,https://i.scdn.co/image/ab67616d0000b2730b04da4f224b51ff86e0a481
Ella Baila Sola,Eslabon Armado,https://i.scdn.co/image/ab67616d0000b273dfddf1cb31b85a6d28b7d91f
Empire Now,Hozier,https://i.scdn.co/image/ab67616d0000b273a5aab55aa65e5f6bd19564a2
