song,artist,album_cover_url
Dna (Loving You) [Feat. Hannah Boleyn],"Billy Gillies, Hannah Boleyn",https://i.scdn.co/image/ab67616d0000b27360c614f7030dd6078ee0d3f0
Do I Wanna Know?,Arctic Monkeys,https://i.scdn.co/image/ab67616d0000b2734ae1c4c5c45aabe565499163
Do It,"Kanye West, Ty Dolla $Ign",https://i.scdn.co/image/ab67616d0000b2735f4d67e6c3d62045e72d3775
Do They Know It'S Christmas? - 1984 Version,Band Aid,https://i.scdn.co/image/ab67616d0000b273d549b09f0264901929eaa6e8
"Dodger Blue (Feat. Wallie The Sensei, Siete7X, Roddy Ricch)",Kendrick Lamar,https://i.scdn.co/image/ab67616d0000b273d9985092cd88bffd97653b58
"Dodger Blue (Feat. Wallie The Sensei, Siete7X, Roddy Ricch))",Kendrick Lamar,https://i.scdn.co/image/ab67616d0000b273d9985092cd88bffd97653b58
Dog Days Are Over,Florence + The Machine,https://i.scdn.co/image/ab67616d0000b273003f81b1f4246362638e682d
Doja,Central Cee,https://i.scdn.co/image/ab67616d0000b2733c7d945b6baf935e8a0ebdaa
Don'T Dream It'S Over,Crowded House,https://i.scdn.co/image/ab67616d0000b2733ce3e2272e25916844f10d86
Don'T Look Back In Anger - Remastered,Oasis,https://i.scdn.co/image/ab67616d0000b2737a4c8c59851c88f6794c3cbf
Don'T Stop Believin' (2022 Remaster),Journey,https://i.scdn.co/image/ab67616d0000b27363fa4751355b66f236943275
Don'T Wanna Break Up Again,Ariana Grande,https://i.scdn.co/image/ab67616d0000b2738b58d20f1b77295730db15b4
Don’T Blame Me,Taylor Swift,https://i.scdn.co/image/ab67616d0000b273da5d5aeeabacacc1263c0f4b
Don’T Smile,Sabrina Carpenter,https://i.scdn.co/image/ab67616d0000b273208dc3669313f2c5114c612d
Down Bad,Taylor Swift,https://i.scdn.co/image/ab67616d0000b2735076e4160d018e378f488c33
Drag Me Down,One Direction,https://i.scdn.co/image/ab67616d0000b273241e4fe75732c9c4b49b94c3
Dreams - 2004 Remaster,Fleetwood Mac,https://i.scdn.co/image/ab67616d0000b273e52a59a28efa4773dd2bfe1b
Drew A Picasso,Drake,https://i.scdn.co/image/ab67616d0000b273931aeb0d63b3e45425bd7310
Driving Home For Christmas,Chris Rea,https://i.scdn.co/image/ab67616d0000b273074c5d0ef113a4c2f64fedeb
Dumb & Poetic,Sabrina Carpenter,https://i.scdn.co/image/ab67616d0000b273208dc3669313f2c5114c612d
Eagle,D-Block Europe,https://i.scdn.co/image/ab67616d0000b273b97b031f0fba049f1c83f64c
Electric Touch (Feat. Fall Out Boy) (Taylor’S Version) (From The Vault),Taylor Swift,https://i.scdn.co/image/ab67616d0000b2730b04da4f224b51ff86e0a481
Embrace It,Ndotz,https://i.scdn.co/image/ab67616d0000b273536637d541ec8a43842ef126
Enchanted (Taylor'S Version),Taylor Swift,https://i.scdn.co/image/ab67616d0000b2730b04da4f224b51ff86e0a481
End Of Beginning,Djo,https://i.scdn.co/image/ab67616d0000b273fddfffec51b4580acae727c1
Entrapreneur,Central Cee,https://i.scdn.co/image/ab67616d0000b27307df81dcf193b7f4b41e8409
Escapism.,Raye,https://i.scdn.co/image/ab67616d0000b27394e5237ce925531dbb38e75f
Espresso,Sabrina Carpenter,https://i.scdn.co/image/ab67616d0000b273659cd4673230913b3918e0d5
Eternal Sunshine,Ariana Grande,https://i.scdn.co/image/ab67616d0000b273c75a14e746ffe2030e8cd5da
Euphoria,Kendrick Lamar,https://i.scdn.co/image/ab67616d0000b2737587213b1be294ac4000f648
Europapa,Joost,https://i.scdn.co/image/ab67616d0000b27364593914322faaf17150d522
Evergreen,"Richy Mitch, The Coal Miners",https://i.scdn.co/image/ab67616d0000b2731cc17bae5ee17cce117e198a
Everybody Wants To Rule The World,Tears For Fears,https://i.scdn.co/image/ab67616d0000b27322463d6939fec9e17b2a6235
Everything Is Romantic Featuring Caroline Polachek,Charli Xcx,https://i.scdn.co/image/ab67616d0000b27355a1e72ba425c60a02a9bb47
Everywhere - 2017 Remaster,Fleetwood Mac,https://i.scdn.co/image/ab67616d0000b273aaba065944cd82a6f15c86b6
Evil,Eminem,https://i.scdn.co/image/ab67616d0000b2731633c43b5695735f7de36487
Evil Ways (Feat. J. Cole),Drake,https://i.scdn.co/image/ab67616d0000b273e286ee36b4015afa8832356a
Exes,Tate Mcrae,https://i.scdn.co/image/ab67616d0000b2733abcdf926da7799a87d36406
Eyes Closed,Ed Sheeran,https://i.scdn.co/image/ab67616d0000b273a0aea3805ed6a87aa394c796
Fairytale Of New York (Feat. Kirsty Maccoll),The Pogues,https://i.scdn.co/image/ab67616d0000b273d0ccf94a2d981db731f5dab8
Family Matters,Drake,https://i.scdn.co/image/ab67616d0000b273a0ac23f4b446a7264e67bf0e
Fast Car,Tracy Chapman,https://i.scdn.co/image/ab67616d0000b27390b8a540137ee2a718a369f9
Father Stretch My Hands Pt. 1,Kanye West,https://i.scdn.co/image/ab67616d0000b2732a7db835b912dc5014bd37f4
Fe!N,Travis Scott,https://i.scdn.co/image/ab67616d0000b273881d8d8378cd01099babcd44
Fe!N (Feat. Playboi Carti),Travis Scott,https://i.scdn.co/image/ab67616d0000b273881d8d8378cd01099babcd44
Fear Of Heights,Drake,https://i.scdn.co/image/ab67616d0000b273931aeb0d63b3e45425bd7310
Feather,Sabrina Carpenter,https://i.scdn.co/image/ab67616d0000b2730f45623be014a592a5815827
Feelslikeimfallinginlove,Coldplay,https://i.scdn.co/image/ab67616d0000b27390ac383add08fbff7286958c
Feliz Navidad,José Feliciano,https://i.scdn.co/image/ab67616d0000b273c8ac560f803bba4902f8bbc5
Field Trip,"Kanye West, Ty Dolla $Ign, ¥$",https://i.scdn.co/image/ab67616d0000b273b323e81b41c797a4784abc02
First Person Shooter (Feat. J. Cole),Drake,https://i.scdn.co/image/ab67616d0000b273931aeb0d63b3e45425bd7310
Flamenco,Beyoncé,https://i.scdn.co/image/ab67616d0000b2737d673fc006936df22215aee1
Flashing Lights,Kanye West,https://i.scdn.co/image/ab67616d0000b27326f7f19c7f0381e56156c94a
Flooded The Face,Lil Uzi Vert,https://i.scdn.co/image/ab67616d0000b273a0e7694a73abed7372474d69
